Detected,Detected2,Detected3,Detected4,Detected5,Reality,Was Covert,Frameno,Diff,Diff2,Diff3,Diff4,Diff5
0,0,0,0,0,0,False,286,True,True,True,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
13,13,13,13,13,13,False,286,True,True,True,True,True
0,0,0,0,0,0,False,290,True,True,True,True,True
18,18,18,18,18,18,False,286,True,True,True,True,True
6,6,6,6,6,6,False,286,True,True,True,True,True
T4,T4,T4,T4,T4,T4,False,287,True,True,True,True,True
5,5,5,5,5,5,False,287,True,True,True,True,True
13,13,13,13,13,13,False,286,True,True,True,True,True
10,10,10,10,10,10,False,286,True,True,True,True,True
15,15,10,10,15,15,False,287,True,True,False,False,True
T15,T15,T15,T15,T15,T15,False,286,True,True,True,True,True
6,6,6,6,6,6,False,286,True,True,True,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
19,19,D19,D19,19,D19,False,287,False,False,True,True,False
7,7,7,7,7,7,False,286,True,True,True,True,True
16,16,16,16,16,16,False,286,True,True,True,True,True
11,11,11,11,11,11,True,286,True,True,True,True,True
9,9,9,9,9,9,False,289,True,True,True,True,True
11,11,11,11,11,14,False,287,False,False,False,False,False
D16,D16,D16,D16,D16,D16,False,287,True,True,True,True,True
T5,5,5,T5,T5,20,False,287,False,False,False,False,False
14,14,14,14,14,14,False,286,True,True,True,True,True
9,9,9,9,9,9,False,286,True,True,True,True,True
18,18,18,18,18,18,False,254,True,True,True,True,True
25,25,25,25,25,25,False,287,True,True,True,True,True
T12,5,5,5,5,5,False,287,False,True,True,True,True
0,0,0,0,0,0,False,262,True,True,True,True,True
18,18,18,18,18,18,True,287,True,True,True,True,True
10,10,10,10,10,6,False,287,False,False,False,False,False
20,20,20,20,20,20,False,286,True,True,True,True,True
9,T9,T9,T9,T9,T9,False,287,False,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
6,6,6,6,6,6,False,287,True,True,True,True,True
4,4,4,4,4,4,False,287,True,True,True,True,True
20,20,20,20,20,20,False,290,True,True,True,True,True
0,0,0,0,0,0,False,285,True,True,True,True,True
0,0,0,0,0,D13,True,286,False,False,False,False,False
18,4,4,4,4,4,False,286,False,True,True,True,True
20,1,20,20,20,1,True,286,False,True,False,False,False
12,12,12,12,12,12,False,286,True,True,True,True,True
19,19,19,19,19,19,False,290,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
10,10,10,10,10,10,False,286,True,True,True,True,True
15,15,15,15,15,15,False,286,True,True,True,True,True
17,17,17,17,17,17,False,286,True,True,True,True,True
10,10,10,10,10,10,False,286,True,True,True,True,True
D17,D17,D17,D17,D17,D17,False,286,True,True,True,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
2,2,2,2,2,2,False,286,True,True,True,True,True
17,T17,T17,T17,17,T17,False,286,False,True,True,True,False
0,0,0,0,0,0,False,289,True,True,True,True,True
3,19,19,19,19,3,False,287,True,False,False,False,False
6,6,6,6,6,6,False,286,True,True,True,True,True
0,0,0,0,0,0,False,288,True,True,True,True,True
13,13,13,13,13,13,False,286,True,True,True,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
13,13,13,13,13,13,False,286,True,True,True,True,True
6,6,6,6,6,6,False,286,True,True,True,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
4,4,4,4,4,4,False,289,True,True,True,True,True
N/D,N/D,N/D,N/D,N/D,4,False,6883,False,False,False,False,False
4,4,4,4,4,4,False,286,False,False,False,False,False
9,9,9,9,9,9,True,286,False,False,False,False,False
12,12,12,12,12,12,False,287,False,False,False,False,False
20,20,20,20,20,20,False,287,False,False,False,False,False
T5,T5,T5,T5,T5,T5,False,286,False,False,False,False,False
D15,D15,D15,0,D15,D15,False,286,False,False,False,False,False
6,6,6,10,6,6,False,288,False,False,False,False,False
7,7,7,7,7,7,False,286,False,False,False,False,False
14,14,14,14,14,14,False,286,False,False,False,False,False
8,8,8,8,8,8,False,287,False,False,False,False,False
8,8,16,16,8,7,False,288,False,False,False,False,False
7,19,7,7,7,19,False,287,False,False,False,False,False
16,16,16,16,16,16,False,290,False,False,False,False,False
0,0,0,0,0,0,False,288,False,False,False,False,False
9,9,9,9,9,9,False,286,False,False,False,False,False
9,9,9,9,9,T9,False,288,False,False,False,False,False
18,4,4,18,4,10,False,286,False,False,False,False,False
11,11,11,11,11,11,False,286,False,False,False,False,False
11,11,11,11,11,8,False,287,False,False,False,False,False
0,0,0,0,0,0,False,287,False,False,False,False,False
5,5,5,5,5,20,False,288,True,True,True,True,True
5,5,5,5,5,5,False,287,False,False,False,False,False
D9,D9,D9,D9,D9,D9,False,286,False,False,False,False,False
12,12,12,12,12,12,False,287,False,False,False,False,False
0,0,0,0,0,0,False,287,False,False,False,False,False
18,18,18,18,18,18,False,287,False,False,False,False,False
4,4,4,4,4,4,False,287,False,False,False,False,False
T13,T13,T13,T13,T13,T13,False,287,False,False,False,False,False
0,D14,D14,D14,D14,0,False,287,False,False,False,False,False
10,10,10,10,10,10,False,287,False,False,False,False,False
0,0,0,0,0,0,False,287,False,False,False,False,False
T15,T15,T15,T15,T15,T15,False,287,False,False,False,False,False
16,16,8,16,16,16,False,286,False,False,False,False,False
10,10,10,10,10,10,False,287,False,False,False,False,False
D17,D17,D17,D17,D17,D17,False,287,False,False,False,False,False
20,20,20,20,20,20,False,286,True,True,True,True,True
12,5,5,5,5,5,False,286,False,True,True,True,True
6,6,6,6,6,6,False,286,True,True,True,True,True
18,18,18,18,18,18,False,286,True,True,True,True,True
20,20,20,20,20,20,False,286,True,True,True,True,True
1,1,1,1,1,1,False,287,True,True,True,True,True
D15,D15,D15,D15,D15,D15,False,286,True,True,True,True,True
D17,D17,D17,D17,D17,D17,False,286,True,True,True,True,True
3,3,3,3,3,T17,True,286,False,False,False,False,False
16,7,16,7,7,16,False,286,True,False,True,False,False
17,17,17,17,17,17,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
0,0,0,0,0,D20,False,286,False,False,False,False,False
D1,D1,0,0,D1,D1,False,286,True,True,False,False,True
0,0,0,0,0,D15,False,286,False,False,False,False,False
2,D2,2,D2,2,2,False,291,True,False,True,False,True
0,0,D17,0,D17,0,False,290,True,True,False,True,False
3,3,3,3,3,3,False,287,True,True,True,True,True
6,6,6,6,6,6,False,287,True,True,True,True,True
6,6,6,6,6,6,False,287,True,True,True,True,True
18,18,18,18,18,18,False,286,True,True,True,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
4,4,4,4,4,4,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
20,20,20,20,20,20,False,286,True,True,True,True,True
7,7,7,7,7,7,False,287,True,True,True,True,True
9,9,9,9,9,9,False,287,True,True,True,True,True
12,12,12,12,12,9,False,287,False,False,False,False,False
20,20,20,20,20,20,False,286,True,True,True,True,True
5,5,5,5,5,5,False,289,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
13,13,13,13,13,13,True,286,True,True,True,True,True
0,0,0,0,0,0,False,273,True,True,True,True,True
4,13,D13,0,D4,4,False,287,True,False,False,False,False
D6,D6,0,0,D6,D6,False,287,True,True,False,False,True
3,3,3,3,3,3,False,287,True,True,True,True,True
T7,T7,T7,T7,T7,T7,False,290,True,True,True,True,True
8,8,8,8,8,8,False,287,True,True,True,True,True
D9,D9,D9,D9,D9,D9,False,287,True,True,True,True,True
10,10,6,10,10,10,False,288,True,True,False,True,True
11,11,11,11,11,11,False,286,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
D12,D12,D12,D12,D12,D12,False,286,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
0,D13,0,0,0,13,True,287,False,False,False,False,False
11,11,11,11,11,T11,False,290,False,False,False,False,False
11,11,11,11,11,11,False,287,True,True,True,True,True
11,11,11,11,11,11,False,287,True,True,True,True,True
14,14,14,14,14,14,False,289,True,True,True,True,True
2,2,2,2,2,2,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
15,15,15,15,15,15,False,287,True,True,True,True,True
0,0,0,0,0,0,False,289,True,True,True,True,True
11,11,11,11,11,11,False,287,True,True,True,True,True
T11,T11,T11,T11,T11,11,False,288,False,False,False,False,False
7,7,7,7,7,7,False,287,True,True,True,True,True
D16,D16,D16,D16,D16,D16,False,286,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
3,3,3,3,3,3,True,287,True,True,True,True,True
2,2,2,2,2,2,False,287,True,True,True,True,True
17,17,17,17,17,17,False,286,True,True,True,True,True
13,6,6,6,6,6,False,287,False,True,True,True,True
1,1,T18,T18,18,1,False,286,True,True,False,False,False
0,0,0,0,0,0,False,287,True,True,True,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
D3,D3,3,3,D3,D3,False,287,True,True,False,False,True
7,7,7,7,7,7,False,287,True,True,True,True,True
0,0,0,0,0,0,False,288,True,True,True,True,True
3,3,3,3,3,3,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
3,3,3,3,3,3,False,287,True,True,True,True,True
3,3,3,3,3,3,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
D19,D19,D19,D19,D19,D19,False,287,True,True,True,True,True
20,20,D20,20,D20,D20,False,286,False,False,True,False,True
18,18,18,18,18,18,False,287,True,True,True,True,True
T1,T1,T1,T1,T1,T1,False,287,True,True,True,True,True
3,3,3,3,3,3,False,287,True,True,True,True,True
15,15,15,15,15,15,False,286,True,True,True,True,True
3,3,3,3,3,3,False,287,True,True,True,True,True
3,3,3,3,3,3,False,286,True,True,True,True,True
17,17,17,17,17,17,False,287,True,True,True,True,True
D17,D17,D17,D17,D17,D17,False,287,True,True,True,True,True
15,15,15,15,15,15,False,287,True,True,True,True,True
17,D17,D17,D17,17,D17,False,286,False,True,True,True,False
T2,T2,T2,2,T2,T2,False,286,True,True,True,False,True
6,6,6,6,6,6,False,287,True,True,True,True,True
19,19,19,19,19,19,False,287,True,True,True,True,True
4,4,4,4,4,4,False,286,True,True,True,True,True
T18,T18,T18,T18,T18,T18,False,287,True,True,True,True,True
18,4,18,4,18,18,True,286,True,False,True,False,True
20,1,20,20,20,20,False,286,True,False,True,True,True
20,1,20,20,20,T1,False,286,False,False,False,False,False
2,2,2,2,2,2,False,286,True,True,True,True,True
20,1,1,1,1,20,False,287,True,False,False,False,False
1,1,1,1,1,1,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
T3,T3,T3,T3,T3,3,False,288,False,False,False,False,False
0,0,0,0,0,0,False,293,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
15,15,15,15,15,15,False,286,True,True,True,True,True
15,15,15,15,15,2,False,287,False,False,False,False,False
17,17,17,17,17,17,False,289,True,True,True,True,True
7,7,7,7,7,7,False,287,True,True,True,True,True
T2,T2,T2,T2,T2,T17,False,287,False,False,False,False,False
3,3,3,3,3,3,False,287,True,True,True,True,True
6,6,6,6,6,6,False,287,True,True,True,True,True
4,4,4,4,4,4,False,287,True,True,True,True,True
9,9,9,9,9,9,False,287,True,True,True,True,True
18,18,18,18,18,18,False,287,True,True,True,True,True
12,12,12,12,12,12,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
12,12,12,12,12,12,False,286,True,True,True,True,True
20,20,20,20,20,20,False,287,True,True,True,True,True
0,0,0,0,0,0,False,288,True,True,True,True,True
5,5,5,5,5,5,False,287,True,True,True,True,True
D6,0,0,0,D6,D6,False,287,True,False,False,False,True
19,19,19,19,19,19,False,286,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
19,19,19,19,19,19,False,287,True,True,True,True,True
T14,T14,T14,T14,T14,11,True,286,False,False,False,False,False
D19,D19,D19,D19,D19,D19,False,286,True,True,True,True,True
25,25,25,25,25,0,False,285,False,False,False,False,False
7,7,7,7,7,7,True,287,True,True,True,True,True
14,14,14,14,14,14,False,286,True,True,True,True,True
T16,T16,T16,T16,T16,T16,False,287,True,True,True,True,True
7,7,7,7,7,7,False,287,True,True,True,True,True
19,19,19,19,19,19,False,288,True,True,True,True,True
11,11,11,11,11,11,False,286,True,True,True,True,True
T11,T11,T11,T11,T11,T11,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
